date,area_group,prefecture,location,weather_code,pop,temp_min,temp_max,reliability
2026-03-26,首都圏,東京,東京,302,,,,
2026-03-27,首都圏,東京,東京,200,30,10,18,
2026-03-28,首都圏,東京,東京,202,50,10,19,C
2026-03-29,首都圏,東京,東京,201,30,10,20,A
2026-03-30,首都圏,東京,東京,200,40,11,20,B
2026-03-31,首都圏,東京,東京,202,70,12,17,B
2026-04-01,首都圏,東京,東京,202,50,11,19,C
2026-03-26,近畿,大阪,大阪,202,,,,
2026-03-27,近畿,大阪,大阪,101,20,8,19,
2026-03-28,近畿,大阪,大阪,201,30,9,21,B
2026-03-29,近畿,大阪,大阪,101,20,10,20,A
2026-03-30,近畿,大阪,大阪,202,50,11,20,C
2026-03-31,近畿,大阪,大阪,202,70,12,19,C
2026-04-01,近畿,大阪,大阪,200,40,11,19,B
2026-03-26,九州,福岡,福岡,100,,,,
2026-03-27,九州,福岡,福岡,201,20,8,21,
2026-03-28,九州,福岡,福岡,101,20,10,21,A
2026-03-29,九州,福岡,福岡,201,30,9,21,A
2026-03-30,九州,福岡,福岡,202,60,11,20,C
2026-03-31,九州,福岡,福岡,202,50,13,19,C
2026-04-01,九州,福岡,福岡,200,40,12,19,C
2026-03-26,四国,香川,高松,210,,,,
2026-03-27,四国,香川,高松,201,10,7,19,
2026-03-28,四国,香川,高松,201,20,7,20,B
2026-03-29,四国,香川,高松,201,20,8,19,A
2026-03-30,四国,香川,高松,202,50,10,19,C
2026-03-31,四国,香川,高松,202,60,11,19,B
2026-04-01,四国,香川,高松,200,40,10,18,B
2026-03-26,中国,広島,広島,211,,,,
2026-03-27,中国,広島,広島,101,10,8,20,
2026-03-28,中国,広島,広島,201,30,10,20,A
2026-03-29,中国,広島,広島,111,20,9,20,A
2026-03-30,中国,広島,広島,202,60,11,19,C
2026-03-31,中国,広島,広島,202,60,13,19,C
2026-04-01,中国,広島,広島,200,40,11,18,B
2026-03-26,東海,愛知,名古屋,313,,,,
2026-03-27,東海,愛知,名古屋,201,20,9,19,
2026-03-28,東海,愛知,名古屋,200,40,9,21,B
2026-03-29,東海,愛知,名古屋,201,30,9,21,A
2026-03-30,東海,愛知,名古屋,202,50,10,19,C
2026-03-31,東海,愛知,名古屋,203,70,12,20,B
2026-04-01,東海,愛知,名古屋,200,40,11,21,B
2026-03-26,東北,宮城,仙台,302,,,,
2026-03-27,東北,宮城,仙台,201,30,6,12,
2026-03-28,東北,宮城,仙台,200,40,5,14,B
2026-03-29,東北,宮城,仙台,201,30,6,16,A
2026-03-30,東北,宮城,仙台,201,30,6,15,A
2026-03-31,東北,宮城,仙台,202,50,9,17,C
2026-04-01,東北,宮城,仙台,201,30,7,16,A
2026-03-26,北海道,石狩,札幌,101,,,,
2026-03-27,北海道,石狩,札幌,201,20,4,9,
2026-03-28,北海道,石狩,札幌,200,40,3,10,B
2026-03-29,北海道,石狩,札幌,201,30,3,11,A
2026-03-30,北海道,石狩,札幌,200,40,3,12,B
2026-03-31,北海道,石狩,札幌,202,50,4,12,C
2026-04-01,北海道,石狩,札幌,201,30,3,12,A
2026-03-26,北関東,栃木,宇都宮,313,,,,
2026-03-27,北関東,栃木,宇都宮,200,40,8,18,
2026-03-28,北関東,栃木,宇都宮,202,50,8,18,C
2026-03-29,北関東,栃木,宇都宮,201,30,8,19,A
2026-03-30,北関東,栃木,宇都宮,200,40,9,19,B
2026-03-31,北関東,栃木,宇都宮,202,60,11,17,B
2026-04-01,北関東,栃木,宇都宮,200,40,9,19,B
2026-03-26,北陸,石川,金沢,313,,,,
2026-03-27,北陸,石川,金沢,101,10,8,15,
2026-03-28,北陸,石川,金沢,200,40,8,17,B
2026-03-29,北陸,石川,金沢,101,20,8,17,A
2026-03-30,北陸,石川,金沢,202,50,8,19,C
2026-03-31,北陸,石川,金沢,202,50,10,16,C
2026-04-01,北陸,石川,金沢,200,40,8,16,B
